City,State,Density,Lag,p-value,10% quantile,90% quantile
Denver,Colorado,1774.0,1.0,0.0,1.0,1.9
Staten Island,New York,3155.0,18.0,0.002,1.8,3.4
Seattle,Washington,3336.0,14.0,0.015,1.6,3.5
Milwaukee,Wisconsin,2389.0,17.0,0.016,1.5,2.9
Manhattan,New York,27799.0,17.0,0.071,1.6,2.74
San Jose,California,2257.0,3.0,0.107,2.33,3.7
Raleigh,North Carolina,1235.0,3.0,0.108,1.8,2.9
Albuquerque,New Mexico,1151.0,2.0,0.133,0.9,1.6
Boise,Idaho,1045.0,15.0,0.146,1.3,2.2
Oakland,California,2937.0,8.0,0.154,2.9,4.2
Indianapolis,Indiana,921.0,12.0,0.164,1.9,4.69
Atlanta,Georgia,1384.0,14.0,0.213,1.8,3.75
Chicago,Illinois,4612.0,19.0,0.223,1.5,3.2
Providence,Rhode Island,3783.0,2.0,0.223,1.91,4.0
Los Angeles,California,3295.0,1.0,0.26,1.9,3.89
Omaha,Nebraska,1304.0,15.0,0.302,1.7,2.8
Hartford,Connecticut,2741.0,9.0,0.346,1.5,3.41
San Francisco,California,7286.0,11.0,0.423,1.9,3.7
Jacksonville,Florida,460.0,2.0,0.487,3.61,5.5
Miami,Florida,4969.0,12.0,0.5,1.1,1.6
Boston,Massachusetts,5472.0,2.0,0.54,1.5,2.4
